"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1500805523335045125","x1513305813074739203",2022-04-10 23:59:56,"khocengcuties","@ShopeeID Langit, bisakah kau turunkan hujan?Aku ingin hp OPPO A16 #KetupatShopee

3.680","Twitter for Android",78,"x1511644661756006400","x1500805523335045125","khocengcuties",FALSE,FALSE,0,0,,,"KetupatShopee",,,,,,,,,,,,,"x2983890506","ShopeeID","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khocengcuties/status/1513305813074739203","itsmee_aml","Homesweet","lagi ikut giveaway shopee!!",,FALSE,2,15,0,4975,496,2022-03-07 12:08:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1500805523335045125/1649162549",,"http://pbs.twimg.com/profile_images/1511323386953474053/OW4yz28i_normal.jpg"
"x1500805523335045125","x1513305789670506496",2022-04-10 23:59:50,"khocengcuties","@ShopeeID Langit, bisakah kau turunkan hujan?Aku ingin hp OPPO A16 #KetupatShopee

3.679","Twitter for Android",78,"x1511644661756006400","x1500805523335045125","khocengcuties",FALSE,FALSE,0,0,,,"KetupatShopee",,,,,,,,,,,,,"x2983890506","ShopeeID","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khocengcuties/status/1513305789670506496","itsmee_aml","Homesweet","lagi ikut giveaway shopee!!",,FALSE,2,15,0,4975,496,2022-03-07 12:08:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1500805523335045125/1649162549",,"http://pbs.twimg.com/profile_images/1511323386953474053/OW4yz28i_normal.jpg"
"x1500805523335045125","x1513305763435147264",2022-04-10 23:59:44,"khocengcuties","@ShopeeID Langit, bisakah kau turunkan hujan?Aku ingin hp OPPO A16 #KetupatShopee

3.678","Twitter for Android",78,"x1511644661756006400","x1500805523335045125","khocengcuties",FALSE,FALSE,0,0,,,"KetupatShopee",,,,,,,,,,,,,"x2983890506","ShopeeID","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khocengcuties/status/1513305763435147264","itsmee_aml","Homesweet","lagi ikut giveaway shopee!!",,FALSE,2,15,0,4975,496,2022-03-07 12:08:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1500805523335045125/1649162549",,"http://pbs.twimg.com/profile_images/1511323386953474053/OW4yz28i_normal.jpg"
"x1500805523335045125","x1513305737531097088",2022-04-10 23:59:38,"khocengcuties","@ShopeeID Langit, bisakah kau turunkan hujan?Aku ingin hp OPPO A16 #KetupatShopee

3.677","Twitter for Android",78,"x1511644661756006400","x1500805523335045125","khocengcuties",FALSE,FALSE,0,0,,,"KetupatShopee",,,,,,,,,,,,,"x2983890506","ShopeeID","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khocengcuties/status/1513305737531097088","itsmee_aml","Homesweet","lagi ikut giveaway shopee!!",,FALSE,2,15,0,4975,496,2022-03-07 12:08:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1500805523335045125/1649162549",,"http://pbs.twimg.com/profile_images/1511323386953474053/OW4yz28i_normal.jpg"
"x1500805523335045125","x1513305702437371904",2022-04-10 23:59:29,"khocengcuties","@ShopeeID Langit, bisakah kau turunkan hujan?Aku ingin hp OPPO A16 #KetupatShopee

3.676","Twitter for Android",78,"x1511644661756006400","x1500805523335045125","khocengcuties",FALSE,FALSE,0,0,,,"KetupatShopee",,,,,,,,,,,,,"x2983890506","ShopeeID","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khocengcuties/status/1513305702437371904","itsmee_aml","Homesweet","lagi ikut giveaway shopee!!",,FALSE,2,15,0,4975,496,2022-03-07 12:08:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1500805523335045125/1649162549",,"http://pbs.twimg.com/profile_images/1511323386953474053/OW4yz28i_normal.jpg"
"x1500805523335045125","x1513305661865852931",2022-04-10 23:59:20,"khocengcuties","@ShopeeID Langit, bisakah kau turunkan hujan?Aku ingin hp OPPO A16 #KetupatShopee

3.675","Twitter for Android",78,"x1511644661756006400","x1500805523335045125","khocengcuties",FALSE,FALSE,0,0,,,"KetupatShopee",,,,,,,,,,,,,"x2983890506","ShopeeID","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khocengcuties/status/1513305661865852931","itsmee_aml","Homesweet","lagi ikut giveaway shopee!!",,FALSE,2,15,0,4975,496,2022-03-07 12:08:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1500805523335045125/1649162549",,"http://pbs.twimg.com/profile_images/1511323386953474053/OW4yz28i_normal.jpg"
"x1500805523335045125","x1513305601048477697",2022-04-10 23:59:05,"khocengcuties","@ShopeeID Langit, bisakah kau turunkan hujan?Aku ingin hp OPPO A16 #KetupatShopee

3.674","Twitter for Android",78,"x1511644661756006400","x1500805523335045125","khocengcuties",FALSE,FALSE,0,0,,,"KetupatShopee",,,,,,,,,,,,,"x2983890506","ShopeeID","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/khocengcuties/status/1513305601048477697","itsmee_aml","Homesweet","lagi ikut giveaway shopee!!",,FALSE,2,15,0,4975,496,2022-03-07 12:08:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1500805523335045125/1649162549",,"http://pbs.twimg.com/profile_images/1511323386953474053/OW4yz28i_normal.jpg"
"x1064003302356996096","x1513304481894572036",2022-04-10 23:54:38,"BarangRecommend","@jogjamnfs Ibuku ga tak pegangin samsung, enakan oppo buat orang tua mana ibuku kerjanya file file semua lagi. Tapi kalo suruh milih yaa A52","Twitter for Android",129,"x1513285175920107520","x2556967357","jogjamnfs",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2556967357","jogjamnfs","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/BarangRecommend/status/1513304481894572036","<U+2368><U+20DD><U+0001F9DA><U+200D><U+2640><U+FE0F>","","21+ // write all the contents of my brain <U+0001F4AB>",,FALSE,1055,840,0,1975,214,2018-11-18 03:52:10,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1505428133607972864/S19EqU81_normal.jpg"
"x1381643346","x1513304401511084032",2022-04-10 23:54:19,"scoups_exe","@timcilions @drkaphy @beulbelbet @aldohehee @haipipii @watermeloey @blubupblub @haechankejora @demenkarina mjb ini buat oppo. abis klik emergency numbers itu ada add emergency contact, max 3 nomor https://t.co/LvA21BF644","Twitter for Android",89,"x1513291571151917057","x2563575410","timcilions",FALSE,FALSE,12,2,,,,,,,,"http://pbs.twimg.com/media/FQBWTslaUAIBph1.jpg","https://t.co/LvA21BF644","https://twitter.com/scoups_exe/status/1513304401511084032/photo/1","photo","http://pbs.twimg.com/media/FQBWTslaUAIBph1.jpg http://pbs.twimg.com/media/FQBWUJLaAAU7plJ.jpg http://pbs.twimg.com/media/FQBWUkFaQAIBvsN.jpg http://pbs.twimg.com/media/FQBWU-LaQAIo7XS.jpg","https://t.co/LvA21BF644 https://t.co/LvA21BF644 https://t.co/LvA21BF644 https://t.co/LvA21BF644","https://twitter.com/scoups_exe/status/1513304401511084032/photo/1 https://twitter.com/scoups_exe/status/1513304401511084032/photo/1 https://twitter.com/scoups_exe/status/1513304401511084032/photo/1 https://twitter.com/scoups_exe/status/1513304401511084032/photo/1",,"x2563575410 x1415372495486476289 x1371009367353389057 x1492737700704632837 x3288060325 x3002954616 x1141356186760908801 x1448313817230766081 x1459881181386735620","timcilions drkaphy beulbelbet aldohehee haipipii watermeloey blubupblub haechankejora demenkarina","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/scoups_exe/status/1513304401511084032","rona // darl<U+000169F7>ing","","5sos5 is coming <U+0001F600>",,FALSE,454,350,2,25247,9615,2013-04-26 11:10:27,FALSE,,,,"https://pbs.twimg.com/profile_banners/1381643346/1636451528","http://abs.twimg.com/images/themes/theme16/bg.gif","http://pbs.twimg.com/profile_images/1458009504226811917/UsOID1Lt_normal.jpg"
"x1084444506181623808","x1513303880255217666",2022-04-10 23:52:15,"eskrimkeliling","@queensadhuyyyyy gpp kmra oppo yg ptg kan penggunanya hehe","Twitter for iPhone",41,"x1513171363564990467","x1234374150283616258","queensadhuyyyyy",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x1234374150283616258","queensadhuyyyyy","in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/eskrimkeliling/status/1513303880255217666","ice <U+0001F366>","","aku di twitter adalah kebalikanku di rl.",,FALSE,672,620,0,13013,1016,2019-01-13 13:38:13,FALSE,,,,"https://pbs.twimg.com/profile_banners/1084444506181623808/1635121980",,"http://pbs.twimg.com/profile_images/1452237796702367758/GZEUcbam_normal.jpg"
