user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,status_url,name,location,description,url,protected,followers_count,friends_count,listed_count,statuses_count,favourites_count,account_created_at,verified,profile_url,profile_expanded_url,account_lang,profile_banner_url,profile_background_url,profile_image_url
x1142786449554624512,x1513305779322843148,4/10/2022 23:59,cycsle,samsung galaxy s20 ultra 2 bulan ada di tas w pas mau dicharge ternyata gak mati dong batrenya masih ada 70 u0001f62du0001f44du0001f3fb ,Twitter for Android,140,,,,FALSE,TRUE,0,1226,,,,,,,,,,,,,,,,x705079657,plumbinq,in,,,,,,,,,,,,,,,,x1513176572949241856,"Samsung Galaxy S20 Ultra 2 bulan ada di tas w, pas mau dicharge ternyata gak mati dong, batrenya masih ada 70% <U+0001F62D><U+0001F44D><U+0001F3FB> https://t.co/TiOp1dKn1w https://t.co/EvjQAk0iU0",4/10/2022 15:26,Twitter for Android,14660,1226,x705079657,plumbinq,<U+0001F9A0><U+FE0E> <U+FE0E>,16328,1454,117296,,<U+28FF><U+28FF><U+28FF><U+283F><U+283F><U+283F><U+283F><U+283F><U+283F><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+287F><U+281F><U+281B><U+281B><U+283F><U+283F><U+281B><U+28BF><U+28FF><U+28FF> <U+28FF><U+28FF><U+28A1><U+2844><U+28C0><U+28C2><U+28C0><U+28C2><U+2800><U+2808><U+2839><U+28FF><U+28FF><U+287F><U+2809><U+2800><U+2800><U+28C0><U+28E4><U+28E4><U+28C4><U+2800><U+2880><U+28FF><U+28FF> <U+28FF><U+28FF><U+28EE><U+2864><U+288B><U+2849><U+2809><U+2809><U+2819><U+2808><U+28B8><U+28FF><U+28FF><U+2847><U+2800><U+2800><U+2840><U+28C0><U+2800><U+2820><U+2808><U+2819><U+28A6><U+28FF><U+28FF> <U+28FF><U+28FF><U+28FF><U+28E7><U+28E4><U+28FE><U+28F7><U+28F4><U+28FE><U+28FF><U+28FF><U+28FF><U+28FF><U+28F7><U+2840><U+2800><U+28BF><U+28FF><U+28F6><U+28F7><U+28FF><U+28F7><U+28F6><U+28FF><U+28FF> <U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28E7><U+2800><U+2818><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF> <U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28F7><U+2859><U+2879> ngab,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/cycsle/status/1513305779322843148,nad,,gak,,FALSE,346,333,2,83747,490,6/23/2019 13:28,FALSE,,,,https://pbs.twimg.com/profile_banners/1142786449554624512/1650042362,,http://pbs.twimg.com/profile_images/1498456716106559489/TxqrAHrF_normal.jpg
x1177382716398014467,x1513305556370526210,4/10/2022 23:58,kaybaah_, samsung,Twitter for Android,7,x1513176578527744004,x1043215455073304577,kobbykatalyst1,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,x1043215455073304577,kobbykatalyst1,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/kaybaah_/status/1513305556370526210,Kay Baah,Tema,Official Account for KayBaah©<U+FE0F> | Real Madrid Fan<U+0001F90D> @realmadriden | Medikal fan @amgmedikal | Rapper (No Freestyles),,FALSE,66,24,0,1077,3247,9/27/2019 0:41,FALSE,,,,https://pbs.twimg.com/profile_banners/1177382716398014467/1627326495,,http://pbs.twimg.com/profile_images/1499854481630150662/6P1I_lXG_normal.jpg
x721893667103879168,x1513305241261068288,4/10/2022 23:57,flaweroad,iya jg ya wkwk di rumah cuma gue yg gapake samsung…,Twitter for iPhone,52,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,,,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/flaweroad/status/1513305241261068288,yas.,she/her ‘99 <U+0001F1EE><U+0001F1E9>,#<U+BE45><U+BC45> #<U+C5D0><U+C774><U+D2F0><U+C988> & khhrnb.,,FALSE,550,575,1,42326,30073,4/18/2016 2:50,FALSE,,,,https://pbs.twimg.com/profile_banners/721893667103879168/1649916644,,http://pbs.twimg.com/profile_images/1514485365826273280/yRuLOs1u_normal.jpg
x1176009679853350912,x1513305078634930178,4/10/2022 23:57,slurdlordeh,samsung galaxy s20 ultra 2 bulan ada di tas w pas mau dicharge ternyata gak mati dong batrenya masih ada 70 u0001f62du0001f44du0001f3fb ,Twitter for Android,140,,,,FALSE,TRUE,0,1226,,,,,,,,,,,,,,,,x705079657,plumbinq,in,,,,,,,,,,,,,,,,x1513176572949241856,"Samsung Galaxy S20 Ultra 2 bulan ada di tas w, pas mau dicharge ternyata gak mati dong, batrenya masih ada 70% <U+0001F62D><U+0001F44D><U+0001F3FB> https://t.co/TiOp1dKn1w https://t.co/EvjQAk0iU0",4/10/2022 15:26,Twitter for Android,14660,1226,x705079657,plumbinq,<U+0001F9A0><U+FE0E> <U+FE0E>,16328,1454,117296,,<U+28FF><U+28FF><U+28FF><U+283F><U+283F><U+283F><U+283F><U+283F><U+283F><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+287F><U+281F><U+281B><U+281B><U+283F><U+283F><U+281B><U+28BF><U+28FF><U+28FF> <U+28FF><U+28FF><U+28A1><U+2844><U+28C0><U+28C2><U+28C0><U+28C2><U+2800><U+2808><U+2839><U+28FF><U+28FF><U+287F><U+2809><U+2800><U+2800><U+28C0><U+28E4><U+28E4><U+28C4><U+2800><U+2880><U+28FF><U+28FF> <U+28FF><U+28FF><U+28EE><U+2864><U+288B><U+2849><U+2809><U+2809><U+2819><U+2808><U+28B8><U+28FF><U+28FF><U+2847><U+2800><U+2800><U+2840><U+28C0><U+2800><U+2820><U+2808><U+2819><U+28A6><U+28FF><U+28FF> <U+28FF><U+28FF><U+28FF><U+28E7><U+28E4><U+28FE><U+28F7><U+28F4><U+28FE><U+28FF><U+28FF><U+28FF><U+28FF><U+28F7><U+2840><U+2800><U+28BF><U+28FF><U+28F6><U+28F7><U+28FF><U+28F7><U+28F6><U+28FF><U+28FF> <U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28E7><U+2800><U+2818><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF> <U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28FF><U+28F7><U+2859><U+2879> ngab,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/slurdlordeh/status/1513305078634930178,Bhima L Jati,"Surakarta, Jawa Tengah","CEO of Dekonstruksi.Opini                                             
Media of Video Game
PhD in Internet Retardation",,FALSE,57,636,1,12282,10427,9/23/2019 5:45,FALSE,,,,https://pbs.twimg.com/profile_banners/1176009679853350912/1592740409,,http://pbs.twimg.com/profile_images/1515149153889779715/Ju5xQ3QX_normal.jpg
x3115361679,x1513304753534648320,4/10/2022 23:55,koonminie, samsung s21,Twitter for Android,12,x1513302204228251649,x1391176471310385154,ofsupv,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,x1391176471310385154,ofsupv,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/koonminie/status/1513304753534648320,elena7 | 06.10.,she/her,#<U+B0A8><U+C900>: sky always gives us the reasons to live,,FALSE,1712,2129,21,189515,198506,3/25/2015 17:48,FALSE,,,,https://pbs.twimg.com/profile_banners/3115361679/1647209652,http://abs.twimg.com/images/themes/theme1/bg.png,http://pbs.twimg.com/profile_images/1509888579484499968/FuOQ9kQZ_normal.jpg
x1064003302356996096,x1513304481894572036,4/10/2022 23:54,BarangRecommend, ibuku ga tak pegangin samsung enakan oppo buat orang tua mana ibuku kerjanya file file semua lagi tapi kalo suruh milih yaa a52,Twitter for Android,129,x1513285175920107520,x2556967357,jogjamnfs,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,x2556967357,jogjamnfs,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/BarangRecommend/status/1513304481894572036,<U+2368><U+20DD><U+0001F9DA><U+200D><U+2640><U+FE0F>,,21+ // write all the contents of my brain <U+0001F4AB>,,FALSE,1055,840,0,1975,214,11/18/2018 3:52,FALSE,,,,,,http://pbs.twimg.com/profile_images/1505428133607972864/S19EqU81_normal.jpg
x1339449912153411584,x1513304266538045441,4/10/2022 23:53,simpoverncttrsr, iyaa samsung u0001f62du0001f923,Twitter for Android,16,x1513278990487678978,x1408791546565054469,vrelvv,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,x1408791546565054469 x1271439514460753920,vrelvv treasuremenfess,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/simpoverncttrsr/status/1513304266538045441,niana E.D HACKER <U+2655>,rant acc,cw // harsh word,https://t.co/X6g3mG8uyD,FALSE,410,438,1,9347,1015,12/17/2020 6:00,FALSE,https://t.co/X6g3mG8uyD,https://secreto.site/id/awv4a,,https://pbs.twimg.com/profile_banners/1339449912153411584/1648691447,,http://pbs.twimg.com/profile_images/1509347905500753920/z-o-JlFP_normal.jpg
x1153965575250386944,x1513304151652208642,4/10/2022 23:53,sherenangelinW2, jimin samsung s20 50k dom jateng ,Twitter for Android,87,,,,FALSE,TRUE,0,2,,,,,,,,http://pbs.twimg.com/media/FP_nCuFaIAE0egQ.jpg,https://t.co/BSNGbcWly1,https://twitter.com/yo_ongiya/status/1513182057236951053/photo/1,photo,http://pbs.twimg.com/media/FP_nCuFaIAE0egQ.jpg,https://t.co/BSNGbcWly1,https://twitter.com/yo_ongiya/status/1513182057236951053/photo/1,,x1261552098740592641 x1267360391891312641,yo_ongiya jajanbhlabels,in,,,,,,,,,,,,,,,,x1513182057236951053,@jajanbhlabels jimin samsung s20+ 50k dom jateng https://t.co/BSNGbcWly1,4/10/2022 15:48,Twitter for Android,1,2,x1261552098740592641,yo_ongiya,fika 7,490,528,964,<U+0001F42F><U+0001F431><U+0001F430>,<U+0001F6D2> sbt acc for <U+2661>#<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8> poca enjoyer <U+0001F43E>,FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/sherenangelinW2/status/1513304151652208642,Nana<U+2728>|| rest,<U+C0AC><U+B791><U+D574>,ACC Selling | Trade | Buying<U+2728><U+2728>,,FALSE,734,775,0,3034,4007,7/24/2019 9:50,FALSE,,,,https://pbs.twimg.com/profile_banners/1153965575250386944/1646576982,,http://pbs.twimg.com/profile_images/1500478733765193733/-GA1GCsG_normal.jpg
x1436182934965219334,x1513304091274866690,4/10/2022 23:53,savvuna,aduh padahal udah kegocek iphone tapi samsung emang bagus sih ,Twitter for Android,64,,,,TRUE,FALSE,0,0,,,,,twitter.com/sugatalus/stat…,https://t.co/R1UCwNk2SO,https://twitter.com/sugatalus/status/1513056859472777217,,,,,,,,,,,in,x1513056859472777217,samsung i got you your new ad that will get you to sell that s22 ultra like hotcakes https://t.co/4VAEE5JqQt,4/10/2022 7:30,Twitter for iPhone,58539,10822,x1265396979338817541,sugatalus,dia <U+0001F5E1>7 MINCENTURY,36194,890,41053,23,“you’ve told us d-2’s cultural impact many times” and you will hear it again | she/her | fan account,FALSE,,,,,,,,,,,,,,,,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/savvuna/status/1513304091274866690,<U+0001D414><U+0001D40D><U+0001D400> | jam 5 sore tuh CLOSE!,la vraie beauté,"Kalo mampir sekalian jajan ya, biar gue cepet kaya. Lof yu buat yang jajan di sini<U+0001F490> Paymentnya bisa semua e-wallet & qris!",https://t.co/3NVvW7xw2v,FALSE,1093,1119,0,21536,2150,9/10/2021 4:21,FALSE,https://t.co/3NVvW7xw2v,https://shope.ee/1pwQMIH7Eg,,https://pbs.twimg.com/profile_banners/1436182934965219334/1650078537,,http://pbs.twimg.com/profile_images/1515214759716556803/W-Over9b_normal.jpg
x1388148342446858242,x1513304047201230848,4/10/2022 23:52,ArafatIbraheem2,iphone or samsungme vivo,Twitter for Android,44,,,,FALSE,TRUE,0,5,,,,,,,,,,,,,,,,x4517671287,cutiebelah,in,,,,,,,,,,,,,,,,x1513284084432351247,"IPhone or samsung?

Me: Vivo",4/10/2022 22:33,Twitter for Android,39,5,x4517671287,cutiebelah,Mommy's Girl,2254,1308,1587,Home,"Muslimah
Allah first <U+0001F446><U+0001F446>
         Ya allah bless my Parents <U+0001F4FF><U+0001F4FF>
   Mommy's Fav <U+0001F493><U+0001F493> <U+0001F64F>
Follow me Please <U+0001F64F> <U+0001F64F>
#retweet all my post <U+0001F64F>",FALSE,,,,,,,NA NA,NA NA,NA NA NA NA NA NA NA NA,https://twitter.com/ArafatIbraheem2/status/1513304047201230848,TaLeNtEd<U+0001F4AF><U+0001F4A5>,"@secure, north","smile<U+0001F60A><U+0001F91E>
<U+3030><U+FE0F>personal blog<U+3030><U+FE0F><U+270C><U+FE0F><U+0001F4A5>
          ___am not born to impress u<U+0001F60E><U+0001F4AF>
   FUck RUles<U+262F><U+FE0F>,F*ck Ego<U+0001F530>___
                <U+3030><U+FE0F><U+3030><U+FE0F>HUSTLER<U+3030><U+FE0F><U+3030><U+FE0F>
      We<U+0001F985>Keep<U+0001F985>moving<U+0001F985>",,FALSE,1458,1351,0,11027,12632,4/30/2021 15:09,FALSE,,,,https://pbs.twimg.com/profile_banners/1388148342446858242/1649978225,,http://pbs.twimg.com/profile_images/1514744224381644801/442BU9d1_normal.jpg
